"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Sep 01 13:16:19 UTC 2026","Tue Sep 01 13:16:19 UTC 2026","0","tests","test_dataHandling","","","","test_excel_write",""
"broken","Tue Sep 01 13:16:20 UTC 2026","Tue Sep 01 13:16:21 UTC 2026","612","tests","test_api","","","","test_PostApi",""
"passed","Tue Sep 01 13:16:20 UTC 2026","Tue Sep 01 13:16:21 UTC 2026","911","tests","test_api","","","","test_getApi",""
"broken","Tue Sep 01 13:16:19 UTC 2026","Tue Sep 01 13:16:19 UTC 2026","1","tests","test_dataHandling","","","","test_jsonHandling",""
"failed","Tue Sep 01 13:16:22 UTC 2026","Tue Sep 01 13:16:27 UTC 2026","5296","tests","test_home","","","","test_validate_home_screen[chromium]",""
"broken","Tue Sep 01 13:16:19 UTC 2026","Tue Sep 01 13:16:19 UTC 2026","0","tests","test_dataHandling","","","","test_excel",""
"passed","Tue Sep 01 13:16:21 UTC 2026","Tue Sep 01 13:16:21 UTC 2026","0","tests","test_dataHandling","","","","test_cli",""
"broken","Tue Sep 01 13:16:22 UTC 2026","Tue Sep 01 13:16:52 UTC 2026","30009","tests","test_login","","","","test_negitiveLogin_pwInvalid[chromium]",""
"broken","Tue Sep 01 13:16:22 UTC 2026","Tue Sep 01 13:16:52 UTC 2026","30012","tests","test_results","","","","test_validate_results_screen[chromium]",""
"broken","Tue Sep 01 13:16:19 UTC 2026","Tue Sep 01 13:16:19 UTC 2026","1","tests","test_dataHandling","","","","test_csvHandling",""
"broken","Tue Sep 01 13:16:22 UTC 2026","Tue Sep 01 13:16:52 UTC 2026","30018","tests","test_login","","","","test_positivelogin[chromium]",""
